order_id,item_id,product_id,quantity,list_price,discount
501,1,19,2,449,0.05
501,2,8,1,1799.99,0.07
501,3,14,1,269.99,0.1
501,4,23,2,299.99,0.07
502,1,13,1,269.99,0.05
503,1,13,2,269.99,0.07
503,2,10,1,1549,0.05
504,1,24,2,549.99,0.1
504,2,2,2,749.99,0.05
505,1,26,1,599.99,0.2
506,1,25,1,499.99,0.1
506,2,7,1,3999.99,0.07
507,1,11,2,1680.99,0.05
507,2,13,2,269.99,0.07
507,3,20,2,599.99,0.1
508,1,8,1,1799.99,0.05
508,2,2,2,749.99,0.05
508,3,10,2,1549,0.05
508,4,25,1,499.99,0.07
509,1,23,2,299.99,0.2
509,2,4,2,2899.99,0.05
510,1,17,1,429,0.1
511,1,22,2,269.99,0.05
511,2,13,1,269.99,0.1
512,1,21,1,269.99,0.07
513,1,7,1,3999.99,0.07
513,2,13,1,269.99,0.2
513,3,23,1,299.99,0.07
514,1,18,2,449,0.2
514,2,17,2,429,0.07
515,1,8,1,1799.99,0.07
515,2,5,1,1320.99,0.1
515,3,25,2,499.99,0.07
515,4,6,2,469.99,0.2
516,1,7,1,3999.99,0.05
516,2,5,2,1320.99,0.1
517,1,21,2,269.99,0.07
518,1,16,2,599.99,0.2
518,2,5,2,1320.99,0.05
518,3,25,2,499.99,0.05
518,4,15,2,529.99,0.2
518,5,11,2,1680.99,0.07
519,1,6,1,469.99,0.07
519,2,16,1,599.99,0.1
519,3,23,2,299.99,0.05
519,4,18,2,449,0.2
519,5,7,1,3999.99,0.05
520,1,26,1,599.99,0.1
520,2,24,1,549.99,0.2
520,3,10,1,1549,0.07
521,1,5,1,1320.99,0.2
521,2,14,1,269.99,0.2
522,1,4,2,2899.99,0.07
522,2,22,2,269.99,0.07
522,3,21,1,269.99,0.05
523,1,12,1,549.99,0.2
523,2,20,1,599.99,0.05
523,3,5,2,1320.99,0.1
523,4,16,2,599.99,0.07
524,1,11,1,1680.99,0.07
524,2,2,1,749.99,0.05
524,3,9,1,2999.99,0.2
524,4,3,2,999.99,0.07
524,5,26,1,599.99,0.05
525,1,9,2,2999.99,0.07
525,2,6,2,469.99,0.07
525,3,10,1,1549,0.1
526,1,3,2,999.99,0.1
526,2,8,1,1799.99,0.1
526,3,21,1,269.99,0.05
526,4,15,1,529.99,0.07
527,1,18,2,449,0.07
527,2,4,1,2899.99,0.2
527,3,19,1,449,0.1
527,4,9,2,2999.99,0.2
528,1,21,2,269.99,0.05
529,1,12,2,549.99,0.07
530,1,2,2,749.99,0.05
530,2,4,1,2899.99,0.07
530,3,6,2,469.99,0.2
531,1,6,1,469.99,0.2
531,2,12,2,549.99,0.2
531,3,25,1,499.99,0.07
532,1,17,2,429,0.07
532,2,16,2,599.99,0.2
532,3,12,1,549.99,0.1
533,1,4,1,2899.99,0.2
533,2,12,2,549.99,0.1
533,3,10,1,1549,0.2
533,4,25,1,499.99,0.05
